Country.of.Origin,Region,Latitude,Longitude
Costa Rica,tres rios,9.9080401,-83.9872
Brazil,mountains of minas gerais,-18.0,-44.0
Costa Rica,valle central,9.8917293,-84.1980104
Colombia,cauca,2.715645,-76.662665
Mexico,hustusco,23.0,-102.0
Mexico,jaltenango,15.8718306,-92.7226666
Guatemala,"el tumbador, san marcos",14.8635059,-91.9341368
Brazil,mmm,-16.7422571,-49.3329498
Brazil,test,-3.0991829,-60.061848
Indonesia,sumatra brastagi,-5.0,120.0
Colombia,pitalito,1.8447122,-76.0456886
Taiwan,"mountain ali, taiwan",23.57528,120.82444
Mexico,tapachula,14.9258055,-92.3221957
Ethiopia,limu,8.18333,35.58333
Honduras,central region,-25.186356,-57.5266478
Colombia,la plata,2.3894154,-75.8926236
Mexico,tuxtla gutierrez,16.753801,-93.115959
Taiwan,國姓鄉 guoshing township,24.0,121.0
Thailand,chiang rai thailand,19.90858,99.8325
Colombia,nariño,1.5842268,-77.8585766
Guatemala,antigua,14.5567814,-90.7337346
"Tanzania, United Republic Of",shizingo village,37.12005,-93.48019
Mexico,san pedro cotzilnam,16.9375,-92.70056
Mexico,"la concordia, chiapas",16.1178232,-92.6907913
Uganda,kasese,0.1310412,30.0047968
Guatemala,san marcos,14.9533135,-91.9120444
Guatemala,solola,14.7039413,-91.282818
Guatemala,norte,-28.4433671,-65.7632375
Brazil,cerrado,-20.0066519,-45.9766719
Ethiopia,snnprg; kafa; telo woreda; shada kebele,11.8,39.15
"Tanzania, United Republic Of",arusha,37.12005,-93.48019
Kenya,kenya,1.4419683,38.4313975
Brazil,"minas gerais, br",-18.865186,-48.265278
Guatemala,guatemala,15.5855545,-90.345759
Uganda,mt. rwenzori,0.1974235,30.0150547
Indonesia,aceh tengah,4.564267,96.9618926
Taiwan,"nanxi dist., tainan city 臺南市楠西區",24.0,121.0
Guatemala,"aldea xeucalvitz, ixil region, quiche department",15.5,-90.25
Mexico,santo domingo cacalotepec,17.3956039,-96.3266214
Ethiopia,"ethiopia, sidamo",7.85,36.08333
Kenya,blend,-1.3237096,36.8443356
Thailand,NaN,14.8971921,100.83273
Thailand,chiangrai,19.9480922,99.8794568
Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",23.4708536,120.7027381
Taiwan,台灣,23.9739374,120.9820179
Taiwan,台中和平區,25.0362404,121.5082828
Mexico,xicotepec de juarez,20.2767053,-97.9606968
Mexico,la concordia,16.1178232,-92.6907913
Mexico,la yerbabuena,22.017731,-100.9402287
Costa Rica,central valley,10.0,-84.0
Ecuador,"province of manabi, ecuador",-0.66667,-80.08333
Mexico,petatlan,17.6329541,-101.1335094
Brazil,carmo de minas,-22.1216655,-45.1323836
Thailand,"doi chaang village, chiang rai, thialand",20.910, 99.56
Taiwan,"台南市東山區 (dongshan dist., tainan city)",23.318, 120.40
Uganda,west nile,3.004079,30.9093974
United States (Puerto Rico),yauco region,39.76,-98.5
Mexico,"huazalingo, hidalgo",20.99359,-98.4867466
Guatemala,quetzaltenango,14.8464612,-91.5194208
Kenya,meru county,0.2254509,37.7772624
Colombia,huila supremo,4.0,-73.25
Indonesia,east java,-7.6977397,112.4914199
Guatemala,"sacatepequez, guatemala",14.7841077,-90.6579566
United States (Hawaii),NaN,19.5938015,-155.4283701
Mexico,"chiapas, jaltenango",15.8665451,-92.7252122
Taiwan,NaN,23.9739374,120.9820179
"Tanzania, United Republic Of",nkure- meru,37.12005,-93.48019
Indonesia,bener meriah,4.7738799,96.9780036
Guatemala,atitlan,14.6801463,-91.186161
Mexico,chilón,17.1050377,-92.2734209
Mexico,totutla,19.2323232,-96.9398052
Indonesia,bondowoso,-7.9451279,113.882059
"Tanzania, United Republic Of",karatu northern,37.12005,-93.48019
Mexico,nayarit,22.0000001,-105.0000001
Colombia,guayata,4.937329,-73.4996735
Mexico,chiapas,16.5000001,-92.5000001
Haiti,"thiotte, haiti",18.24147,-71.84077
Burundi,kayanza,-3.0214816,29.6458034
Mexico,sierra madre occidental,25.948,-107.0339
Brazil,campos altos - cerrado,-24.55,-50.58333
Mexico,cuarenteño,21.4574103,-105.0297795
Taiwan,南投國姓,24.0641938,120.8764949
Colombia,eje cafetero,4.3267545,-75.3332156
Mexico,fortín de las flores,18.894698,-96.9972098
"Tanzania, United Republic Of",moshi,37.12005,-93.48019
Vietnam,dala,28.589423,77.1791105
China,dehong prefecture,23.883328,97.7154906
"Tanzania, United Republic Of",mbinga,37.12005,-93.48019
Colombia,NaN,4.099917,-72.9088133
Honduras,san marcos,15.2979415,-88.410297
"Tanzania, United Republic Of",kilimanjaro,37.12005,-93.48019
Mexico,"tlanchinol, hidalgo",21.0447667,-98.6348507
Mexico,san bartolo tutotepec,20.4694189,-98.1959784
Mexico,san isidro,31.5479884,-106.2804292
Brazil,mogiana,-21.2980698,-46.7115952
Brazil,chapadão de ferro (cerrado mineiro),-10.0,-55.0
Taiwan,chiayi alishan 嘉義縣阿里山鄉,23.5044829,120.7925447
Mexico,santa catarina juquila,16.1799827,-97.3303513
Indonesia,dolok sanggul,2.260108,98.7500083
Uganda,"kasese, mt. rwenzori",0.224,29.924
Vietnam,vietnam cau dat,20.8542058,106.6837091
Brazil,high mogiana,-10.0,-55.0
Taiwan,嘉義阿里山,23.5044829,120.7925447
Brazil,sul de minas,-19.8356534,-43.978433
Mexico,atoyac de alvarez,17.3105589,-100.3425698
Guatemala,"la reforma, san marcos",14.8138908,-91.8223662
Nicaragua,matagalpa,12.940323,-85.6960942
Ethiopia,"blida,kercha,guji,oromia",9.0,39.5
Taiwan,台東太麻里,24.0950694,120.5421363
Philippines,"bukidnon, mindanao, philppines",13.0,122.0
Philippines,asia pacific,15.5801842,121.0608911
Colombia,antioquia,7.0000085,-75.5000086
Vietnam,don duong,11.740, 108.35
Mexico,la cumbre,19.1805659,-103.690907
El Salvador,"el balsamo, quezaltepec",13.83333,-88.91667
Rwanda,gicumbi,-1.5792052,30.0677684
Vietnam,vietnam tutra,16.16667,107.83333
United States,berastagi,39.76,-98.5
Guatemala,santa rosa,14.1501524,-90.3508818
Indonesia,sapan toraja,-2.8129196,119.8574038
Guatemala,el progreso,14.9100437,-90.0682728
Taiwan,"台南市東山區( dongshan dist., tainan city)",24.318, 120.40
El Salvador,cacahuatique,13.770, -88.20
China,menglian,22.330, 99.58
Malawi,mzuzu,-11.458, 34.02
Colombia,south huila,1.850, -76.05
Laos,"paksong,laos",15.183, 106.14
Brazil,monte carmelo,-18.735, -47.49
"Tanzania, United Republic Of",karatu arusha,-3.333, 35.66
Mexico,la yerba,21.438, -104.90
Uganda,mt elgon,1.133, 34.53
Thailand,phahi,20.351, 99.82
El Salvador,NaN,13.8000382,-88.9140683
Mexico,NaN,23.6585116,-102.0077097
Mexico,mahuixtlan,19.408611,-96.916667
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,20.5,86.25
Taiwan,changhua baguashan 彰化市八卦山,24.0,121.0
Indonesia,aceh,4.3685491,97.0253024
"Tanzania, United Republic Of",ikand village,37.12005,-93.48019
Mexico,oaxaca,17.0,-96.5
Mexico,colima,19.166667,-104.0
Indonesia,bali,-8.2271303,115.1919203
Mexico,zapotitlan de mendez,20.0043581,-97.6911528
Honduras,"comayagua, honduras",18.1407043,-66.1964009
"Tanzania, United Republic Of",arusha meru,37.12005,-93.48019
Peru,peru,-6.8699697,-75.0458515
Honduras,NaN,15.2572432,-86.0755145
Mexico,zihuatanejo de azueta,17.8078999,-101.4969524
Mexico,progreso santa rosa teocelo,19.39806,-96.99167
Mexico,fln mirador,18.79139,-96.98139
China,xishuangbanna prefecture,21.4564041,101.5633407
Mexico,"jaltocan, hidalgo",21.1537998,-98.5263178
Brazil,brazil matas de minas,-18.0,-44.0
Taiwan,nantou,23.90235,120.6909167
Mexico,"calnali, hidalgo",20.9043387,-98.5335393
Mexico,juquila,17.2617062,-98.5846987
Mexico,canoas,22.3838889,-101.7587944
"Tanzania, United Republic Of",ruvuma,37.12005,-93.48019
"Tanzania, United Republic Of",northern,37.12005,-93.48019
"Tanzania, United Republic Of","ilomba vilage, mbozi",37.12005,-93.48019
Taiwan,yunlin 雲林縣石壁,24.0,121.0
Mexico,altotonga,19.764922,-97.1280745
Indonesia,aceh gayo,3.9902489,97.3433818
"Tanzania, United Republic Of",ngorogoro,37.12005,-93.48019
Costa Rica,turrialba,9.7843604,-83.4995932
Honduras,el paraíso,13.9619941,-86.5627921
Honduras,guinope el paraíso,13.8809711,-86.9357991
Laos,lao p.d.r.,18.0,105.0
"Tanzania, United Republic Of",meru,37.12005,-93.48019
Honduras,occidental,16.3241399,-86.5656958
Mexico,coscomatepec,19.0591501,-97.0995339
Zambia,mubuyu estate,-14.33333,28.5
Mexico,"chapulhuacan, hidalgo",21.1263192,-98.9521192
Myanmar,ywar ngan,21.1856438,96.419075
Indonesia,lington nihuta,-5.0,120.0
Malawi,kakoma,-12.1390271,33.4891394
Mexico,"siltepec el triunfo, chiapas, mexico",15.35076,-92.54573
Vietnam,vietnam,15.9266657,107.9650855
Mexico,"tenango de doria, hidalgo",20.336633,-98.2100553
Mexico,tepictla,23.0,-102.0
Mexico,yajalon,17.1768885,-92.351961
Mexico,"sacún palma, municipio de chilón, chiapas",17.23333,-92.41667
Honduras,western region,15.0,-86.5
"Tanzania, United Republic Of","oldeani , mongola",37.12005,-93.48019
Nicaragua,jalapa,13.9248,-86.10176
Taiwan,古坑鄉荷包村尖山坑60號,24.0,121.0
Myanmar,ywar ngan township,21.1856438,96.419075
Costa Rica,occidental,9.8659296,-83.9270675
Haiti,"dondon, haiti",19.5262,-72.24031
Mexico,amatenango de la frontera,15.523259,-92.0861047
Mexico,temaxcalapa,18.548056,-96.9275
Mexico,manzanillo,19.0506256,-104.3159957
Indonesia,ijen,-8.0579332,114.2430975
Taiwan,苗栗三灣,24.4401504,120.8761235
Guatemala,"san lucas toliman, solola",14.5852096,-91.1437285
Mexico,siltepec el triunfo,17.92323,-91.17049
Peru,puno,-15.0,-70.0
Mexico,"coatepec, coatepec",20.0614644,-97.7317588
Brazil,mantiqueira de minas,-21.4248495,-43.6488275
Philippines,"davao city, region 11",7.0648306,125.6080623
Brazil,matas de minas,-19.5685433,-43.4784164
Taiwan,"dongshan dist., tainan city 台南市東山區",24.0,121.0
"Tanzania, United Republic Of",karatu ngorogoro,37.12005,-93.48019
Mexico,motozintla,15.3050827,-92.3488036
Nicaragua,"dipilto, nueva segovia",13.7203815,-86.5059797
"Tanzania, United Republic Of","ruvuma, mbinga",37.12005,-93.48019
Philippines,corillera administrative,13.0,122.0
Malawi,southern- zomba,-15.4357653,35.3832768
Brazil,alta paulista (sao paulo),-23.216635,-46.8364903
United States,central america,37.8729539,-122.2380229
"Tanzania, United Republic Of","iwala village, mbeya rural",37.12005,-93.48019
Costa Rica,naranjo,10.1054677,-84.3994858
Mexico,san fernando,16.9134645,-93.2203812
Mexico,santo reyes nopala,16.10694,-97.14435
Mexico,santa maria sitepec,23.0,-102.0
Mexico,talpa de allende,20.2986583,-104.9524361
Mexico,"motozintla, chiapas",15.3050827,-92.3488036
Mexico,adolfo lopez mateos,26.7964036,-109.3904699
Taiwan,taiwan,23.9739374,120.9820179
Myanmar,pyinoolwin,21.4632154,96.1809397
"Tanzania, United Republic Of","manyara, karatu",37.12005,-93.48019
Taiwan,台中新社,25.1342855,121.500444
Taiwan,taichung taiping 台中市太平區,24.1336117,120.716012
Taiwan,new taipei zhonghe 新北市中和區,25.0014525,121.5128106
Mexico,ixhuatlan del cafe,19.0266237,-96.9273124
Guatemala,orient,15.5,-90.25
Honduras,"siguatepeque, comayagua",14.5978089,-87.8353071
Haiti,haiti,19.1399952,-72.3570972
Mexico,"el desmoronado, talpan de allende jalisco",20.72054,-102.08557
Nicaragua,nueva segovia,13.7719023,-86.0584542
Honduras,ocotepeque,14.4759433,-89.0365633
Mauritius,chamarel (south west),-20.4225,57.38389
Myanmar,pyin oo lwin,22.0331367,96.4667341
Mexico,zaragoza itundujia,16.668611,-97.792778
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",13.83333,-88.91667
Mexico,pochutla,17.660556,-98.897778
Burundi,mumirwa,-3.4102107,29.3555331
"Tanzania, United Republic Of",mkuu rombo,37.12005,-93.48019
Ethiopia,kelem welega,8.6,35.73333
Brazil,cerrado - monte carmelo - minas gerais,-18.72472,-47.49861
Myanmar,"yauk sauk, shan state",22.0,98.0
Taiwan,chiayi fanlu嘉義縣番路鄉,23.4712106,120.5378825
Taiwan,苗栗泰安,24.593294,120.8246249
Taiwan,yunlin gukeng he bao 雲林縣古坑鄉荷苞村,24.0,121.0
Mexico,escuitla,23.0,-102.0
Myanmar,"doe kwin, pyin oo lwin",22.03501,96.45683
Mexico,"sierra fraylesca, chiapas",16.5,-92.5
Mexico,san miguel del puerto,15.951523,-96.0982694
Taiwan,"taiwu township , pingtung county 屏東縣泰武鄉",24.0,121.0
Taiwan,"baihe dist., tainan city 臺南市白河區",24.0,121.0
Peru,huanuco,-9.5,-75.833333
Costa Rica,brunca,9.3424954,-83.6865538
Mexico,tepetzingo,18.9388556,-99.6126968
Cote d?Ivoire,cnra station of divo,5.830, -5.35
Colombia,pereira,4.7854606,-75.788322
Mexico,zentla,19.078094,-96.7891819
Guatemala,occidente,14.6066925,-90.5174956
Costa Rica,san rafael,10.0595125,-84.0713445
Mexico,"pluma hidalogo, oaxaca",17.06542,-96.72365
Mexico,tlacuilotepec,20.3812243,-97.974932
Honduras,intibuca,14.2556126,-88.2260673
Peru,san ignacio,-5.1243684,-78.8956299
Mexico,"iliatenco, guerrero",17.0515364,-98.6407774
Mexico,"ohuapan, tlaltetela",19.252222,-96.986111
Mexico,yecuatla,19.846559,-96.7777223
Mexico,cofradia de suchitlan,19.4098905,-103.7021503
Mexico,"sierra, chiapas",15.57343,-92.4743253
Mexico,villa talea de castro,17.370936,-96.2294803
Mexico,los angeles,25.202339,-104.5681326
Mexico,"xochitonalco, huautla",18.094444,-96.848333
Mexico,cordoba,18.8944704,-96.9352891
India,chickmangalore,22.0,79.0
Indonesia,indonesia,-2.4833826,117.8902853
Philippines,"benguet, mountain province",17.025781,120.9421037
Mexico,ocosingo,16.6577062,-91.193079
Mexico,huautla de jimenez,18.1474052,-96.8009327
Mexico,menglian,23.0,-102.0
Mexico,"chocaman, veracruz",19.0003507,-97.0372699
Mexico,sierra alta mixe y zapoteca,18.0714,-94.95474
Haiti,marmelade,19.5174077,-72.3619143
Mexico,tlatlauquitepec,19.8386406,-97.5057373
Mexico,"sierra norte yajalon, chiapas",17.17276,-92.33315
Mexico,juchique de ferrer,19.8237752,-96.6526872
Haiti,"department d'artibonite , haiti",19.0,-72.41667
